Day;Hour;Minute;Second;Mission;srcPoint;dstPoint
0;3;59;46;pick&drop_mission;1542;197
0;3;47;32;pick&drop_mission;1549;197
0;3;50;37;pick&drop_mission;318;14188
0;3;54;28;pick&drop_mission;14188;13357
0;3;56;30;pick&drop_mission;13357;13349
0;3;24;22;pick&drop_mission;14243;1542
0;3;34;54;pick&drop_mission;1542;141
0;3;1;5;pick&drop_mission;14188;13355
0;3;3;46;pick&drop_mission;13355;14194
0;3;5;56;pick&drop_mission;14194;13344
0;3;9;44;pick&drop_mission;13344;1542
0;3;19;41;pick&drop_mission;1542;197
0;3;34;28;pick&drop_mission;297;14188
0;3;43;24;pick&drop_mission;14188;13355
0;3;45;53;pick&drop_mission;13355;14194
0;3;48;9;pick&drop_mission;14194;13344
0;3;5;37;pick&drop_mission;1542;197
0;3;8;13;pick&drop_mission;290;14188
0;3;12;3;pick&drop_mission;14188;13357
0;3;14;12;pick&drop_mission;13357;13355
0;3;16;20;pick&drop_mission;13355;13351
0;3;19;23;pick&drop_mission;13351;14192
0;3;26;11;pick&drop_mission;14192;1542
0;3;38;55;pick&drop_mission;1542;332
0;3;48;6;pick&drop_mission;290;14188
0;3;57;12;pick&drop_mission;14188;13357
0;3;59;25;pick&drop_mission;13357;13355
0;3;31;4;pick&drop_mission;1542;197
0;3;33;36;pick&drop_mission;290;14293
0;3;37;25;pick&drop_mission;14293;13357
0;3;39;28;pick&drop_mission;13357;13353
0;3;41;29;pick&drop_mission;13353;13343
0;3;57;42;pick&drop_mission;13343;14196
0;3;18;36;pick&drop_mission;13343;1542
0;3;0;30;pick&drop_mission;1542;14243
0;3;6;30;pick&drop_mission;14243;197
0;3;42;6;pick&drop_mission;290;14293
0;3;46;18;pick&drop_mission;14293;14188
0;3;48;53;pick&drop_mission;14188;13357
0;3;50;56;pick&drop_mission;13357;13355
0;3;53;9;pick&drop_mission;13355;13351
0;3;55;32;pick&drop_mission;13351;14192
0;3;57;31;pick&drop_mission;14192;13346
0;3;59;38;pick&drop_mission;13346;14196
0;3;2;25;pick&drop_mission;14188;13355
0;3;4;55;pick&drop_mission;13355;14194
0;3;6;57;pick&drop_mission;14194;13344
0;3;9;36;pick&drop_mission;13344;1542
0;3;19;23;pick&drop_mission;1542;332
0;3;32;23;pick&drop_mission;304;14293
0;3;41;21;pick&drop_mission;14293;14188
0;3;43;39;pick&drop_mission;14188;13357
0;3;45;41;pick&drop_mission;13357;13355
0;3;47;34;pick&drop_mission;13355;13351
0;3;49;47;pick&drop_mission;13351;14192
0;3;51;36;pick&drop_mission;14192;13346
0;3;53;28;pick&drop_mission;13346;14196
0;3;55;25;pick&drop_mission;14196;14243
0;3;5;1;pick&drop_mission;1542;197
0;3;12;15;pick&drop_mission;290;14293
0;3;16;5;pick&drop_mission;14293;14188
0;3;18;14;pick&drop_mission;14188;13357
0;3;20;5;pick&drop_mission;13357;13355
0;3;22;9;pick&drop_mission;13355;13351
